Country,1991-1997,1998-2004,2005-2010,2011-2016,2017-2022
Morocco,8281.61,10003.27,10618.61,11754.26,12317.03
United Arab Emirates,,172757.14,131330.63,87125.97,88373.48
Honduras,6736.4,6800.62,7567.02,7360.26,6819.89
"Bolivia, Plurinational State of",5609.65,6034.76,6703.06,8428.07,8158.56
Maldives,5140.28,7302.26,14281.58,10685.44,9434.76
Panama,20079.75,20246.61,22406.54,39113.14,49167.55
Sierra Leone,3206.83,1389.7,1239.09,3117.84,884.62
Yemen,31068.67,37653.53,36805.49,28377.51,17553.34
"Moldova, Republic of",7197.83,6884.25,7889.05,9065.71,11556.79
Latvia,12366.6,16797.46,21989.92,23955.42,27068.79
Bhutan,12329.14,15497.08,23471.82,24016.06,16316.75
Iceland,59505.32,69649.28,88190.8,96888.76,109008.23
Burundi,8141.08,5464.11,3538.88,2735.24,2404.42
Syrian Arab Republic,,7241.09,6307.28,3412.16,2949.08
South Sudan,,,23101.26,10685.17,
