Country,1990-1996,1997-2003,2004-2010,2011-2016,2017-2022
Kyrgyzstan,,,,4095787666.67,5916092340.67
Gambia,91720000.0,,,,
Luxembourg,29441899.79,57012000.0,85909857.14,210369666.67,166229500.0
Georgia,35300000.0,137657142.86,135371428.57,288866666.67,655133333.33
Seychelles,234425000.0,284675000.0,473250592.62,511328420.4,585133783.08
Bhutan,117014285.71,118820142.86,949624571.43,2091177718.67,1647377887.5
"Korea, Republic of",1563285714285.71,5581415285714.29,11951359689751.43,19394795871880.83,20964663529941.92
Ukraine,,3301931400.0,6342600000.0,53325783757.67,130203800000.0
Mozambique,,,2672857190.0,7978460956.67,27478709811.67
Dominican Republic,1024257142.86,3171961141.01,22063593349.6,67852030300.42,139339410004.75
North Macedonia,,,2823877179.97,5118578553.67,8259659888.4
Equatorial Guinea,,,4414600000.0,37006839012.56,61402404568.69
Finland,2505314440.54,3544285714.29,2406714285.71,2488833333.33,1696833333.33
United States,220521428571.43,272753928571.43,365000614285.71,431178383333.33,569388933333.33
Namibia,93200000.0,599555713.41,1123787791.57,2273828178.97,7149493615.69
Rwanda,3741000000.0,,,48790162840.53,101606891478.37
Angola,,2828447110.8,60863591276.57,172580990757.82,1096438796089.76
Samoa,,,,16375504.29,14800065.81
"Tanzania, United Republic of",,,313992443000.0,868899992740.88,2240688310540.48
Guinea-Bissau,,,,,6722712206.52
Panama,,,,983804416.64,1297088759.29
