Country,1966-1975,1976-1985,1986-1995,1996-2004,2005-2013,2014-2022
Guinea,,,65.21,43.14,20.29,19.2
Central African Republic,60.22,125.38,123.56,105.22,91.79,120.59
Peru,,6.25,6.43,4.11,1.45,0.83
Togo,29.26,28.08,38.17,14.41,32.67,23.52
Colombia,7.31,0.99,1.0,2.13,1.6,2.17
North Macedonia,,,9.74,25.51,9.46,5.47
Cyprus,28.22,12.02,2.72,0.93,,
Sierra Leone,,46.94,211.79,807.5,127.72,119.33
Thailand,3.43,3.91,2.15,1.26,-0.24,0.11
Kazakhstan,,,0.64,3.96,0.64,0.14
Solomon Islands,,384.76,234.06,157.99,219.98,80.89
"Congo, The Democratic Republic of the",,,46.28,147.84,74.82,26.9
Zimbabwe,0.24,11.32,29.44,34.13,152.77,30.65
Chile,5.16,0.28,0.94,0.39,0.27,0.22
Montenegro,,,,4.47,9.26,8.96
Marshall Islands,,,,212.43,179.05,171.17
