Country,2003-2005,2006-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2022
Cyprus,8.57,7.53,7.4,7.6,13.35,9.45,7.05,1.45,3.2
Namibia,21.75,,19.25,20.3,17.85,12.2,12.8,13.0,11.95
Tonga,0.57,0.27,,,,,,,
Greece,3.77,2.77,1.9,4.1,6.35,5.9,4.2,3.65,2.5
Iceland,46.4,36.63,52.6,53.65,50.5,41.8,30.5,31.15,24.1
Mauritius,,18.2,,14.5,13.8,12.45,9.4,8.35,8.6
Montenegro,9.1,9.57,10.85,11.6,10.7,8.65,6.75,5.5,4.7
Argentina,14.1,9.0,5.4,3.55,3.3,3.9,3.3,4.7,4.75
Comoros,60.25,64.6,,56.5,52.05,54.0,,45.4,47.5
Azerbaijan,59.73,18.4,20.8,23.1,,,,,
Thailand,13.3,4.47,3.4,1.95,1.35,0.85,0.65,0.3,0.35
Mexico,18.2,16.73,13.5,11.9,10.75,11.8,13.3,9.9,8.45
France,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.05
Ecuador,47.83,41.37,32.95,25.55,19.3,18.95,16.55,19.95,18.65
Sudan,57.4,,46.5,67.75,70.4,63.95,68.4,64.4,62.45
Latvia,99.47,95.43,98.2,96.7,96.15,96.75,94.15,88.55,87.05
Bosnia and Herzegovina,9.73,9.27,4.45,3.5,3.15,3.15,2.85,2.6,2.3
Vanuatu,,,3.1,2.7,,,2.7,0.75,1.6
Djibouti,,12.5,11.1,,,,,,
China,70.0,51.1,35.35,25.0,16.0,10.9,8.85,6.45,5.6
Ghana,46.73,28.17,13.15,15.7,11.6,19.9,19.75,10.4,7.05
Botswana,33.13,26.47,17.7,15.6,13.5,6.1,10.35,14.6,21.1
"Iran, Islamic Republic of",49.33,41.73,44.45,42.75,32.5,30.95,29.75,33.05,37.95
Benin,57.8,55.57,52.3,50.0,50.1,53.15,48.85,47.4,
Bulgaria,16.43,8.07,7.5,7.85,7.8,10.0,9.8,6.85,5.0
Canada,0.43,0.43,0.35,0.25,0.25,0.2,0.2,0.15,0.15
Hungary,37.97,29.97,36.15,42.65,42.2,35.05,27.95,23.5,21.8
Honduras,63.37,59.93,54.15,55.0,53.1,52.35,50.25,51.15,47.95
Pakistan,71.23,71.73,69.5,63.2,60.65,55.0,41.35,39.15,34.9
Guinea-Bissau,67.8,72.17,70.8,78.75,88.6,88.9,89.8,89.45,78.65
