Country,1971-1979,1980-1988,1989-1996,1997-2004,2005-2012,2013-2020
Eritrea,,,0.86,0.82,0.84,0.89
Panama,0.96,0.96,0.96,0.97,0.97,0.98
France,1.01,0.99,0.98,0.99,0.99,0.99
Paraguay,0.94,0.95,0.98,0.97,0.97,0.97
Algeria,0.69,0.78,0.86,0.92,0.93,0.95
Sri Lanka,0.94,0.96,0.97,1.0,0.98,0.99
Maldives,,,0.98,0.99,0.97,1.0
Liberia,0.51,0.55,,0.71,0.91,0.96
Denmark,1.02,1.0,1.0,1.0,1.0,0.99
Mozambique,0.65,0.76,0.73,0.77,0.87,0.92
Sao Tome and Principe,0.9,0.96,0.95,0.93,0.98,0.97
Romania,0.98,,1.0,0.99,0.99,0.99
Brazil,,,,0.95,0.94,0.96
Botswana,1.2,1.12,1.04,1.0,0.98,0.98
"Palestine, State of",,,0.99,1.0,0.99,1.0
Hong Kong,0.97,0.99,1.01,1.0,1.0,1.03
Sweden,1.01,1.0,1.01,1.02,1.0,1.04
Namibia,,,1.01,0.99,0.97,0.96
Iraq,0.53,0.88,0.85,0.84,0.84,
Bahamas,1.04,1.03,1.02,0.99,0.97,
Saint Kitts and Nevis,0.94,0.9,0.99,1.06,0.96,0.98
Trinidad and Tobago,0.99,1.01,1.0,0.98,0.97,
Malta,0.99,0.97,0.98,1.0,1.0,1.01
Palau,,,,0.92,,0.95
