Country,1999-2002,2003-2006,2007-2010,2011-2014,2015-2017
Kazakhstan,89.25,89.71,89.03,,
Tuvalu,,,,78.49,75.74
Hungary,87.64,88.52,90.63,90.57,90.53
Kyrgyzstan,85.88,87.42,86.79,87.8,
Bahamas,89.75,88.4,83.93,78.92,78.02
Nicaragua,84.13,96.58,96.54,,
Paraguay,96.41,93.87,89.14,87.54,
Yemen,41.64,62.39,71.46,77.66,78.68
Syrian Arab Republic,,,,67.04,
Myanmar,88.92,88.93,88.64,,
Bulgaria,94.26,94.55,,94.03,87.92
Iceland,,96.24,99.13,98.16,98.95
"Korea, Democratic People's Republic of",,,94.05,,
Dominican Republic,85.98,84.57,86.86,89.26,92.76
Sao Tome and Principe,85.35,94.68,91.3,88.64,89.97
Liechtenstein,,,,90.12,
Congo,,54.44,84.62,91.65,
Finland,99.24,97.47,97.79,99.0,99.02
North Macedonia,89.01,86.49,84.61,87.02,93.39
Niger,23.47,33.36,42.61,54.43,58.31
Mali,40.88,48.45,57.18,58.12,54.38
Aruba,96.97,94.1,97.71,,
Namibia,90.52,91.92,92.14,96.15,
Uganda,,,93.9,96.3,
Uzbekistan,,,88.31,91.07,
Egypt,85.2,89.05,,98.77,
Zimbabwe,89.74,89.43,,,
